;Feature_1;Feature_2;p_value
0;CrudeOil;Gold;0.0
1;CrudeOil;S&P500;7.356093491015503e-65
2;CrudeOil;FTSE;3.484283571735615e-117
3;Gold;CrudeOil;0.0
4;Gold;S&P500;0.0
5;Gold;FTSE;0.0
6;S&P500;CrudeOil;7.356093491015503e-65
7;S&P500;Gold;0.0
8;S&P500;FTSE;0.0
9;FTSE;CrudeOil;3.484283571735615e-117
10;FTSE;Gold;0.0
11;FTSE;S&P500;0.0
