Date;CrudeOil;Gold;S&P500;FTSE
2000-08-30;;;;
2000-08-31;-0.008982126887789654;0.016064235102346336;0.013302847640823012;0.00870736599687394
2000-09-01;0.008459293259879042;-0.004671174451993942;0.0010256410256410664;0.018328382979564184
2000-09-05;0.012582329404012382;-0.004332174032603775;-0.007991803278688536;-0.006254598969830716
2000-09-06;0.03402371455138886;-0.005801217029561823;-0.011361288989878093;-0.008559763744909299
2000-09-07;0.010872705574249464;-0.0007294390887198077;0.00856665273714996;-0.0008215453776183601
2000-09-08;-0.046136455806307985;-0.0025547890767564363;-0.006836544437538894;-0.013230281261729426
2000-09-11;0.04154295784827533;-0.0007317295952630198;-0.001460158531497724;-0.0028330623659865717
2000-09-12;-0.02564096154719786;-0.0007323771606048135;-0.007311468560685208;-0.004026131874810046
2000-09-13;-0.011695950788175535;-0.0003664569650139171;0.0026304713804714552;-0.011791595559072499
2000-09-14;0.008875717273141515;-0.0014662533518438048;0.005037254696190541;0.011932296371981899
2000-09-15;0.051319650390251326;-0.00036712960997209443;-0.024329121854442914;-0.021081564382960827
2000-09-18;0.028730896452831445;-0.0033051558458704333;-0.009203767123287632;-0.0011063234679816736
2000-09-19;-0.010303716299069343;0.0018422992308197994;0.009073233959818516;-0.0010452396350116855
2000-09-20;0.027397260273972712;-0.010665663705709538;-0.0073859987154785145;-0.019301959499687715
2000-09-21;-0.09466664632161459;0.00483266837534857;-0.015205435134260759;-0.012850476645516529
2000-09-22;-0.03829158196896576;0.005549389817763872;0.018177836180464313;0.001080737324198111
2000-09-25;-0.033078155607394466;0.008462172236368248;-0.007098300709830085;0.008250245108395005
2000-09-26;-0.0022172852550168543;-0.0007297052264775283;-0.012781629116117799;-0.007016014073387367
2000-09-27;0.0;0.0164293541448588;0.005266622778143493;0.009029100561949388
2000-09-28;-0.03809526231553817;-0.010057427637767291;0.012879283999126745;-0.0008293919884581058
2000-09-29;0.01848189397331934;-0.007256893888633598;-0.009482758620689702;0.004805175074950041
2000-10-02;0.041801713869527024;-0.0018274853393490664;0.0015230635335075071;-0.0015411323141142352
2000-10-03;-0.0024883927607372014;-0.005492493469338999;-0.009341733651966111;0.009626859734266802
2000-10-04;-0.017773610859005085;-0.0047865179725047335;0.008333333333333304;-0.0015918199615839734
2000-10-05;-0.026984139094276882;0.0011099457051277906;0.003479773814702103;0.007435018450540065
2000-10-06;0.006525310454442268;-0.004804206508589481;-0.02167316861725188;0.0014415849753213195
2000-10-09;0.03338731820293761;0.002970732814001842;-0.007532122286220688;-0.019777254156066904
2000-10-10;0.039836963567905004;0.008515319292837331;-0.01651785714285714;-0.002729474190413139
2000-10-11;0.0;-0.006975014460559814;-0.008397639582387706;-0.020823678087796393
2000-10-12;0.08898934577542117;0.02181143769495142;-0.024948500801098672;0.0023374860172664658
2000-10-13;-0.029085852671524304;-0.014471780348512042;0.03333333333333344;0.012671471574870585
2000-10-16;-0.05563483039616146;-0.00330394242529386;0.004543389368468986;0.012255233261313059
2000-10-17;-0.0045316531146947225;-0.0014732740202002548;-0.02487562189054726;-0.013109182440239397
2000-10-18;0.018209361463686013;-0.0029510080875519984;-0.0037105751391465214;-0.008882306370774473
2000-10-19;-0.01788371051461346;-0.0007398509007935372;0.0377094972067038;0.011499252591864684
2000-10-20;0.040971121179441905;0.004072588221616158;0.004262000897263363;0.009229912564136633
2000-10-23;-0.016618067274134063;-0.004056069520660288;0.004467277194549979;0.006309465590964125
2000-10-24;-0.010673009642374054;0.0;-0.006671114076050699;0.01939549421208242
2000-10-25;-0.012286480687308532;-0.014439073707350092;-0.023505708529214187;-0.010965472590565462
2000-10-26;0.023968475044634063;-0.004883614766838629;0.0027510316368637433;-0.010286127392350464
2000-10-27;-0.031111088505497708;-0.001887504762251524;0.01897576588934613;0.010202671240889805
2000-10-30;0.0033639329597885403;-0.00037823791915359006;0.008974646623289173;0.0034240888940904046
2000-10-31;-0.0036575050764771078;0.0022701707575771835;0.0172337113631309;0.007826685987778692
2000-11-01;0.015601167257736748;-0.003775009524502937;-0.0033883484533828723;0.002982137736661894
2000-11-02;-0.019879513019435024;0.0018946571108906518;0.0016450976091249014;-0.01015858781346013
2000-11-03;0.0018438093701811376;0.0007564758383071801;0.0005474652359576115;-0.0010325559537311957
2000-11-06;0.007975526024544655;-0.0003779520075918308;0.00700372072663602;0.007141306473148701
2000-11-07;0.016433381177638484;-0.0007561898186436711;-0.00021734405564011183;0.005582320376885441
2000-11-08;-0.003293431297191174;0.0026485517947869575;-0.022173913043478266;0.001623652779316087
2000-11-09;0.01982576837672201;0.0030188218602593686;-0.003779457536682962;-0.005434234038647734
2000-11-10;0.004123693269582063;-0.004890849709072609;-0.024324927471546576;-0.006519511770304853
2000-11-13;0.009973603727369884;-0.0007561898186436711;-0.007776761207685223;-0.019593198149777113
2000-11-14;0.012198610665773879;0.0022701707575771835;0.026279391424619547;0.02200868584732918
2000-11-15;0.021520804385599446;0.000755047986559898;0.003144654088050425;0.003025137245111109
2000-11-16;-0.015449417433552992;0.0026404438828258048;-0.01567398119122254;-0.00029536905950267034
2000-11-17;0.015691847333308973;-0.0003761308898756477;-0.005345768880800739;0.0015084902120885424
2000-11-20;-0.010674080609700098;0.0022580939344105655;-0.014293882218410547;-0.014766866386263122
2000-11-21;-0.0019874983645108424;-0.0022530064342471956;0.005104408352668122;0.005862914942868391
2000-11-22;0.007112375224676448;0.0022580939344105655;-0.023891966759002736;-0.02519511893200277
2000-11-27;-0.0005649846582365115;0.014269690141710312;0.029443064916637063;0.02464080357718168
