date;Gold;CrudeOil;S&P500;FTSE250
1986-01-02;;;;
1986-01-03;0.0013790989886606209;0.017214397496087663;0.00615487380123092;0.005186063248803885
1986-01-06;0.0038255547054322214;0.020384615384615445;-0.001090667678300461;0.0044573602600010975
1986-01-07;0.0060975609756097615;-0.025631360723708974;0.014953714692618192;-0.0068066193324760604
1986-01-08;0.00787878787878804;0.000773694390715729;-0.02726847521047715;-0.008746006951773855
1986-01-09;0.0027059530968129852;0.006184770003865525;-0.008943597634274103;-0.013941041603077742
1986-01-10;0.02083958020989507;-0.014598540145985495;-0.0007277667265053189;0.004679120325378872
1986-01-13;-0.0030841533264797105;-0.022222222222222254;0.0036900369003689537;0.00121090531293655
1986-01-14;0.004714201532115547;-0.004385964912280715;-0.0003869969040248833;-0.01172227231740297
1986-01-15;0.016862170087976525;0.008410092110532563;0.007839721254355503;0.00255619279341901
1986-01-16;0.046863734679163604;-0.04765687053216838;0.004369538077403146;0.005200470931534307
1986-01-17;-0.028650137741046744;-0.014595496246872508;-0.00353779222641859;0.0028454612737032203
1986-01-20;-0.004537719795802642;-0.09733389758781219;-0.0043179964496473655;-0.0032386343280907948
1986-01-21;0.015669515669515688;-0.033755274261603296;-0.008384329976389049;-0.008431994134264986
1986-01-22;-0.009817671809256634;-0.017467248908296873;-0.011176442003984599;0.004509206901551321
1986-01-23;-0.007648725212464513;-0.01580246913580252;0.0037348272642390157;-0.0038755214272310212
1986-01-24;0.010562375107051158;-0.024084295032614222;0.01067319461444316;0.006448107226951771
1986-01-27;0.012429378531073398;0.07300771208226231;0.0046504868478418615;0.008235251772666707
1986-01-28;-0.01506696428571419;-0.06804024916147589;0.011668836491634194;0.01422257762799961
1986-01-29;0.0007082152974504652;0.00822622107969151;0.0022877841856918657;0.0031819557764465323
1986-01-30;0.013446567586695046;-0.0015298317185110655;-0.004565124352085115;0.00872262338336749
1986-01-31;-0.020949720670391025;-0.03217568947906024;0.01170400802560545;0.008355015096072282
1986-02-03;-0.00912981455064188;-0.08073878627968323;0.010293701010482659;-0.003311555258128762
1986-02-04;-0.025050388712928306;-0.10562571756601613;-0.005468311833987771;-0.0002976458291513717
1986-02-05;-0.003839338452451324;0.04492939666238782;0.0007989097232012909;0.0031296737384367557
1986-02-06;-0.0005929439667951009;0.019656019656019597;0.002394815927873717;0.0037066180733869025
1986-02-07;0.00029664787896765965;0.06626506024096379;0.005106103902187575;0.007385859586144239
1986-02-10;0.008748517200474426;-0.051977401129943424;0.007829977628635465;0.010704021517267792
1986-02-11;-0.012788475672497301;-0.02979737783075087;-0.0014798372179061214;0.0022896896423627577
1986-02-12;0.004318046456223801;-0.033169533169533194;0.00023156724712869448;0.007230750569430011
1986-02-13;-0.00963676797627877;0.04383735705209646;0.006621289993980595;0.0060481577873376935
1986-02-14;-0.007934131736526906;-0.024345709068776533;0.010855565777368792;0.0021613209993949223
1986-02-18;0.017805945374981036;-0.08296943231441056;0.012240626137604682;0.007034028773159173
1986-02-19;0.01230541141586361;0.025850340136054584;-0.01209260507979315;0.004559951501093895
1986-02-20;-0.012595196250732132;-0.0629973474801061;0.011194029850746245;0.002223709068009949
1986-02-21;0.002669830910708937;-0.03538570417551312;0.01080010800108;0.007762440521772218
1986-02-24;0.011242603550295938;0.07703595011005127;-0.0012465497284301907;0.015229942912069028
1986-02-25;0.031012287887653534;0.0;-0.0024516359097798146;0.00334574393224063
1986-02-26;-0.018870601589103253;-0.004087193460490468;0.0011171187273784078;-8.926237399664583e-05
1986-02-27;-0.025596529284164893;-0.038987688098495066;0.01218532404927708;0.005400855719997155
1986-02-28;0.0037102997922231484;-0.05836298932384343;0.0006614631565020623;-0.0010718317541256184
1986-03-03;-0.00754103208635204;-0.09448223733938022;-0.006610259122157625;-0.000984095742992297
1986-03-04;0.004618593563766149;0.0;-0.0046136101499423265;0.0011630123927550695
1986-03-05;0.012902269019724244;0.004173622704507496;-0.00017826900793294076;0.008607720287177933
1986-03-06;0.008784773060029227;0.09143807148794703;0.0035214406704109358;0.0025804177759316538
1986-03-07;-0.0033381712626995297;-0.0677837014470678;0.0019544263314528187;0.0008851279669050971
1986-03-10;-0.009028687927770562;0.05718954248366015;0.004477545772930913;0.007708228800802797
1986-03-11;0.007788390889052144;0.022411128284389514;0.022552740753817524;0.014066185760787553
1986-03-12;0.0027704870224556366;0.06198034769463345;0.0036686952393283345;0.0013011802687061813
1986-03-13;0.01672240802675584;-0.10320284697508908;0.0027952180270061078;0.016623656836723955
1986-03-14;-0.004576659038901698;-0.003968253968253843;0.014408851151421542;0.0057098756127413886
1986-03-17;0.005459770114942364;0.05816733067729074;-0.007947579792855763;0.005587529976019079
1986-03-18;0.003572449271220357;0.056475903614457756;0.004730046448203851;-0.0010075596785347196
1986-03-19;-0.01253025772461902;-0.05559515324305053;-0.0007634235304097015;0.015594134743350141
1986-03-20;0.011247296322999256;-0.037735849056603765;0.003989813242784468;0.007468738247461415
1986-03-21;0.006416654783972575;0.09411764705882342;-0.013528367295172039;0.0020589453300436933
1986-03-24;-0.007650892604137094;-0.1254480286738351;0.008528327762064025;-0.00739813736903383
1986-03-25;0.004426042261564955;0.01885245901639343;-0.002592104704032705;-0.015985550844724306
1986-03-26;-0.021179815209665942;-0.032180209171359664;0.010991820040899825;0.007067811660101508
1986-03-27;-0.0008713331397037782;-0.05652535328345798;0.007037505267593724;0.0035150216878021556
1986-04-01;-0.031686046511627874;-0.019383259911894157;-0.01602711637444032;0.011492897283336134
